uuid,missing_concept
ce5eae76-7f23-4f08-b03c-6f10c2ccab22,Ceriantharia
ce5eae76-7f23-4f08-b03c-6f10c2ccab22,Psathyrometra fragilis
911bb6da-bcd3-4823-8046-14d12b117174,Corallimorphus
911bb6da-bcd3-4823-8046-14d12b117174,Psathyrometra fragilis
e0f0b060-e79f-49af-a379-89327e7225a2,Corallimorphus
8346feb2-9857-4b00-b664-3ce7feae62ce,Neptunea
fd9996c7-58e1-4f5b-a771-1f0ddaaf5927,Embassichthys bathybius
fd9996c7-58e1-4f5b-a771-1f0ddaaf5927,Umbellula sp. 2
1d3112d4-f886-4718-9d11-a664244d6310,Umbellula sp. 2
0d905716-2d16-40e6-b537-dd6d7626d461,Embassichthys bathybius
0d905716-2d16-40e6-b537-dd6d7626d461,Umbellula sp. 2
95dac5da-747d-4d0b-a368-a1458761386a,Microstomus pacificus
1d9376a7-7658-4e28-b7eb-191c31ab1d0d,Actiniidae sp. 1
65220c98-198c-4861-ab64-8b9098ea9181,Umbellula sp. 2
5d1a843b-9dd3-498b-bd0f-d71a7e40da5c,Hormathiidae sp. 1
5d1a843b-9dd3-498b-bd0f-d71a7e40da5c,Microstomus pacificus
5d1a843b-9dd3-498b-bd0f-d71a7e40da5c,Umbellula sp. 2
1f389947-1cbf-4bd6-a078-aaf06090f932,Umbellula sp. 2
816ca085-bdcc-4055-bdbc-9341cf885a3c,Umbellula sp. 2
bb915fb7-a8f9-434b-b439-27b0558ed8cd,Chorilia
bb915fb7-a8f9-434b-b439-27b0558ed8cd,Umbellula sp. 2
1e93867e-5328-469d-9c99-4b8ac2f884b8,Actinostoloidea
1e93867e-5328-469d-9c99-4b8ac2f884b8,Corallimorphus
4d66ba51-5f3a-4915-8265-ccda484bb305,Neptunea
1753519e-c2d9-40e7-adc3-5a54c065766a,Actiniidae sp. 1
1753519e-c2d9-40e7-adc3-5a54c065766a,Umbellula sp. 2
2ce962b4-73c6-4008-917f-0bc4b98c8766,Umbellula sp. 2
3a930c32-2065-4617-a509-9c5fc38e4c9e,Umbellula sp. 2
ffdad168-63aa-42ec-8c82-da71203ab55e,Umbellula sp. 2
1904728b-682b-4ec5-9836-cab64935c92d,Umbellula sp. 2
c6f96206-77f4-4199-8fa2-2aa3cfd29e18,Mysidacea
c6f96206-77f4-4199-8fa2-2aa3cfd29e18,Phyllospadix-Zostera detritus
c6f96206-77f4-4199-8fa2-2aa3cfd29e18,Scotoplanes sp. A
b8bc75a6-0ef4-4c72-b3cd-8d8253b14ce5,Scotoplanes sp. A
40a43675-ab4d-4942-a396-f26a554d8ab3,Calliostoma
40a43675-ab4d-4942-a396-f26a554d8ab3,eggcase
54890829-0aa5-46b5-ac2f-967a8953dbc2,Bathyraja trachura
d89bd224-f84d-4660-8c95-c355215dc245,Bathyraja trachura
d89bd224-f84d-4660-8c95-c355215dc245,Microstomus pacificus
02bd0912-f656-4ed3-b98e-b74decff93cd,Bathyraja trachura
02bd0912-f656-4ed3-b98e-b74decff93cd,Microstomus pacificus
02bd0912-f656-4ed3-b98e-b74decff93cd,Umbellula sp. 2
52055d3c-b695-4825-9a68-c237c73d4d09,Paguroidea
52055d3c-b695-4825-9a68-c237c73d4d09,Umbellula sp. 2
5409848c-d42b-479d-b39c-1f353ed0684b,Crossaster borealis
5409848c-d42b-479d-b39c-1f353ed0684b,Hormathiidae sp. 1
5409848c-d42b-479d-b39c-1f353ed0684b,Umbellula sp. 2
4b5456d7-bdef-46b0-9afb-4ebcb58439e4,Actiniidae sp. 1
4b5456d7-bdef-46b0-9afb-4ebcb58439e4,Umbellula sp. 2
d2472fd5-17df-43ac-ae63-69b6f3b03be3,Actinostolidae
28c4df3a-8b43-456a-a0ed-0c40764a6d93,Psolus
26204537-658e-4542-b78f-02081fe84567,Suction Sampler
86598586-5e7e-4cf4-9e7e-a87d04d17daa,Suction Sampler
cbbea2a7-e33c-4d30-af87-a71778747d75,Corallimorphus
50db905d-6258-4956-9068-a52eb3056672,Corallimorphus
50db905d-6258-4956-9068-a52eb3056672,Psathyrometra fragilis
22047f2c-af18-4b28-b002-795860cb0d55,Corallimorphus
22047f2c-af18-4b28-b002-795860cb0d55,Octocorallia
2e328d61-8629-49b4-81c0-f1e3f7ddba93,Corallimorphus
2e328d61-8629-49b4-81c0-f1e3f7ddba93,Embassichthys bathybius
57d2accb-f831-4005-bd61-c8aebf045971,Sebastidae
bba0bd62-66e7-4fed-95a5-ae7cfa2387fd,Psathyrometra fragilis
bba0bd62-66e7-4fed-95a5-ae7cfa2387fd,Suction Sampler
90d8b173-ddf8-4031-ae14-40c85081615d,Sebastolobus alascanus
b0530e4c-3554-4aec-8240-fcfc7a4ddca2,Asbestopluma monticola
b0530e4c-3554-4aec-8240-fcfc7a4ddca2,Porifera
b842acd0-23d7-4098-85ec-c95888a78a8d,Umbellula sp. 2
2be4439a-1daf-49d4-9cef-75f02b2e41a8,Hormathiidae sp. 1
2be4439a-1daf-49d4-9cef-75f02b2e41a8,Paguroidea
bc92f7cd-0dc6-4d1b-a21a-7e2b829a2bf8,Mysida
bc92f7cd-0dc6-4d1b-a21a-7e2b829a2bf8,Sebastolobus altivelis
fc733321-90f6-4c94-b3fa-2a65c4aa5246,Asteronyx
fc733321-90f6-4c94-b3fa-2a65c4aa5246,Suction Sampler
e1a653a9-7eb6-4c95-aa4f-eb6a81f15fbb,Umbellula sp. 2
8548b300-1cba-4484-8725-7f7c150b01ac,Crossaster borealis
7b9faa5a-4b8c-4678-9e46-466826b86aea,Hormathiidae sp. 1
7b9faa5a-4b8c-4678-9e46-466826b86aea,Umbellula sp. 2
3de4c36c-0d4a-48ee-9bef-cadba51067f0,Comatulida
3de4c36c-0d4a-48ee-9bef-cadba51067f0,Sebastolobus alascanus
3de4c36c-0d4a-48ee-9bef-cadba51067f0,Suction Sampler
e6f5b513-aeaa-49f9-9fb1-d5e3d396eeb4,Umbellula sp. 2
269285e6-6f66-4db2-a0ac-824b880b92ba,Actiniidae sp. 1
269285e6-6f66-4db2-a0ac-824b880b92ba,Microstomus pacificus
06e947f9-55d8-4942-aa26-c3c3af2478b7,Chorilia
5b3781c1-26a6-48f3-a4ed-bb03049d01d2,Neptunea
5b3781c1-26a6-48f3-a4ed-bb03049d01d2,Pandalopsis ampla
2dc76272-5202-406e-a163-ac25248d438b,Crossaster borealis
6abae2bf-e54d-4245-a040-3834a68de274,Ophiuroidea
c5c75fe1-ee8d-4d72-a285-3fa289f95168,Crossaster borealis
d17a4449-a761-4782-aa67-75356ced72ab,Ophiuroidea
d17a4449-a761-4782-aa67-75356ced72ab,Sebastolobus altivelis
d17a4449-a761-4782-aa67-75356ced72ab,Solaster
04b866b0-a31f-4486-b425-fcfccb2a6cb9,Suction Sampler
ce583744-335a-4313-8fae-13d32fa2bc0a,Solaster
41521b55-0968-49c7-9ecf-cdf54b7f2bcf,Hormathiidae sp. 1
afbee4d3-ec62-40e5-914f-b41cac2416b4,Crossaster borealis
6291f7da-163b-485a-bdca-da168aecbeae,Biology box
6291f7da-163b-485a-bdca-da168aecbeae,Mysidae
6291f7da-163b-485a-bdca-da168aecbeae,Push Corer
6291f7da-163b-485a-bdca-da168aecbeae,Suction Sampler
6291f7da-163b-485a-bdca-da168aecbeae,drawer
6291f7da-163b-485a-bdca-da168aecbeae,equipment
6291f7da-163b-485a-bdca-da168aecbeae,polypropylene line
833f6a2e-be5a-4e8b-bf58-c20e956b5119,Suction Sampler
0a1455d0-67e4-4f6b-83d7-85e736b3c0b4,Actinostolidae
0a1455d0-67e4-4f6b-83d7-85e736b3c0b4,Biology box
0a1455d0-67e4-4f6b-83d7-85e736b3c0b4,Phyllospadix-Zostera detritus
0a1455d0-67e4-4f6b-83d7-85e736b3c0b4,Push Corer
0a1455d0-67e4-4f6b-83d7-85e736b3c0b4,Scalpelliformes
0a1455d0-67e4-4f6b-83d7-85e736b3c0b4,Suction Sampler
0a1455d0-67e4-4f6b-83d7-85e736b3c0b4,enclosure
0a1455d0-67e4-4f6b-83d7-85e736b3c0b4,manipulator
0a1455d0-67e4-4f6b-83d7-85e736b3c0b4,polypropylene line
a8f99cd5-bffc-41e1-857b-2b53f674f3ad,Suction Sampler
3ab1d845-d136-49e9-9724-9975e6daea8a,Suction Sampler
edbbce70-ed67-4133-bf2f-47dfa17fde16,manipulator
bf5de5b8-1315-4030-b922-e7b56790f127,Suction Sampler
8deec5ec-dde1-496a-a045-91028ab36495,Microstomus pacificus
8deec5ec-dde1-496a-a045-91028ab36495,Umbellula sp. 2
d78ef294-75f6-4df4-a7e2-48e4641d8135,Umbellula sp. 2
dc46f9bd-f435-406b-bc45-9283725a0a30,Scotoplanes sp. A
761b94e3-da53-464e-868c-3a223fee3fff,Scotoplanes sp. A
188d5414-7109-4187-823b-a6f6c9261295,Scotoplanes sp. A
51bb4278-5b98-4187-9174-ab7a76764778,Ascidiacea
51bb4278-5b98-4187-9174-ab7a76764778,Bathyraja trachura
51bb4278-5b98-4187-9174-ab7a76764778,Galatheidae
51bb4278-5b98-4187-9174-ab7a76764778,Pandalopsis ampla
51bb4278-5b98-4187-9174-ab7a76764778,Porifera
c98813b9-0367-42bb-8085-b1f3df8aacec,Embassichthys bathybius
9a6cd600-9ffa-4d19-b380-27b09129d5d2,Pannychia moseleyi
57ffad14-927c-40c6-a652-2074ec823f84,Bathyraja trachura
57ffad14-927c-40c6-a652-2074ec823f84,Lycenchelys sp. 1
57ffad14-927c-40c6-a652-2074ec823f84,shell
dfc385bf-f6b6-46d9-ad38-d2206fb1e72b,Umbellula sp. 2
d5fd1690-cbaa-4fd1-be38-6afe02c38362,Sebastolobus alascanus
61776d85-3dd5-4a13-b5e7-bf6a8c09a661,Cnemidocarpa
61776d85-3dd5-4a13-b5e7-bf6a8c09a661,Pandalopsis ampla
24cc0941-0c1f-4760-9573-bba7f0c6f462,Asbestopluma monticola
24cc0941-0c1f-4760-9573-bba7f0c6f462,Embassichthys bathybius
6ba91be5-0296-4af1-8f35-50284da0f4c5,Embassichthys bathybius
24705ebc-6374-4c92-af4f-9e2e88be98ac,Embassichthys bathybius
13703f26-876e-4edc-9fb1-d408bb6f8f44,Actinostolidae
13703f26-876e-4edc-9fb1-d408bb6f8f44,Bathyraja trachura
13703f26-876e-4edc-9fb1-d408bb6f8f44,Biology box
13703f26-876e-4edc-9fb1-d408bb6f8f44,Coryphaenoides acrolepis-filifer complex
13703f26-876e-4edc-9fb1-d408bb6f8f44,Push Corer
13703f26-876e-4edc-9fb1-d408bb6f8f44,coral skeleton
13703f26-876e-4edc-9fb1-d408bb6f8f44,equipment
13703f26-876e-4edc-9fb1-d408bb6f8f44,polypropylene line
13703f26-876e-4edc-9fb1-d408bb6f8f44,quiver
1c9eb839-c97c-4a4b-a232-065fec3fc7c4,Bathyraja trachura
a09da6a9-87f0-4db9-9795-fc0ad4205195,Octocorallia
3666ccff-8af5-44c8-9c4d-1b4c4ea3bd7a,Bathyraja trachura
3666ccff-8af5-44c8-9c4d-1b4c4ea3bd7a,Porifera
93863983-51fb-4e76-8200-97ba3c221342,Octocorallia
0c0a58aa-0f3b-425b-9e5e-df43b81aec1b,Pandalopsis ampla
0c0a58aa-0f3b-425b-9e5e-df43b81aec1b,Solaster
02bc290f-aad1-4a97-964c-065016cf5e60,Bathyraja trachura
02bc290f-aad1-4a97-964c-065016cf5e60,Embassichthys bathybius
02bc290f-aad1-4a97-964c-065016cf5e60,Porifera
1ce35a4a-a88a-4546-8415-20fe79ab882b,Bathyraja trachura
2a5bebdd-b9d9-4391-b42a-d60742427265,Asbestopluma
2a5bebdd-b9d9-4391-b42a-d60742427265,Hippasteria californica
2a5bebdd-b9d9-4391-b42a-d60742427265,Munida sp
2a5bebdd-b9d9-4391-b42a-d60742427265,Mycale sp. 1
2a5bebdd-b9d9-4391-b42a-d60742427265,Porifera
2a5bebdd-b9d9-4391-b42a-d60742427265,Porifera detritus
d44e1720-d112-40ea-90fd-1ad9fe92e852,Bathyraja trachura
d44e1720-d112-40ea-90fd-1ad9fe92e852,Chorilia
d44e1720-d112-40ea-90fd-1ad9fe92e852,Porifera
d44e1720-d112-40ea-90fd-1ad9fe92e852,Sibogagorgia
5e948c0e-7f72-4d97-8efe-6e5bae292092,Bathyraja trachura
5e948c0e-7f72-4d97-8efe-6e5bae292092,Porifera
38fc256d-9d1b-4793-b889-18190f6aaafb,Coryphaenoides acrolepis
7f1d5a91-a641-4328-b3cb-23fb97cdbb9b,Tunicata
c4ec95d1-d9be-41f1-981e-d65984dbf8c4,Ophiuroidea
c4ec95d1-d9be-41f1-981e-d65984dbf8c4,Pandalopsis ampla
119bb67a-a723-4ff1-add9-f484be572e85,Bathyraja trachura
119bb67a-a723-4ff1-add9-f484be572e85,Ophiuroidea
119bb67a-a723-4ff1-add9-f484be572e85,Pannychia moseleyi
3c54becb-1fab-48ac-87ef-8ebe07a2f140,Bathyraja trachura
c5210c4c-c4fa-47d3-ba0b-5a4a9719e16f,Bathyraja trachura
c5210c4c-c4fa-47d3-ba0b-5a4a9719e16f,Ophiuroidea
c5210c4c-c4fa-47d3-ba0b-5a4a9719e16f,Porifera
c5210c4c-c4fa-47d3-ba0b-5a4a9719e16f,Psathyrometra fragilis
e44c5c4a-916f-4c28-a973-4b7d6085a279,Embassichthys bathybius
83ed0ecf-c052-4ff1-9050-c31ac02d5c92,Actinostolidae
83ed0ecf-c052-4ff1-9050-c31ac02d5c92,Asbestopluma
83ed0ecf-c052-4ff1-9050-c31ac02d5c92,Bathyraja abyssicola
83ed0ecf-c052-4ff1-9050-c31ac02d5c92,Callistephanus kofoidi
83ed0ecf-c052-4ff1-9050-c31ac02d5c92,Coryphaenoides acrolepis-filifer complex
83ed0ecf-c052-4ff1-9050-c31ac02d5c92,Pandalus amplus
83ed0ecf-c052-4ff1-9050-c31ac02d5c92,Phyllospadix-Zostera detritus
83ed0ecf-c052-4ff1-9050-c31ac02d5c92,Porifera
83ed0ecf-c052-4ff1-9050-c31ac02d5c92,Suction Sampler
83ed0ecf-c052-4ff1-9050-c31ac02d5c92,coral skeleton
9e701eac-8819-4572-97ec-24ff2c185076,Ascidiacea
9e701eac-8819-4572-97ec-24ff2c185076,Bathyraja abyssicola
9e701eac-8819-4572-97ec-24ff2c185076,Porifera
68fcb4fa-c223-4621-8f47-e579bca02415,Bathyraja abyssicola
f0bc4085-da3d-4cf1-b46d-312bc77cd876,Embassichthys bathybius
3e0d50de-3031-4614-962b-e93ed04224e6,Octocorallia
75097364-23fd-43ff-a46f-d330fac56ba8,Embassichthys bathybius
e4786505-02cb-4374-93ad-fff44a4e22c7,Bathyraja trachura
7a915f62-3411-4189-a981-7b6742a27118,Porifera
a8b4b027-14b9-4778-a9d8-8ebb48f8e951,Bathyraja trachura
3e34ba95-bbe1-4a7c-b571-8d4dde844ffc,Bathyraja trachura
3e34ba95-bbe1-4a7c-b571-8d4dde844ffc,Coryphaenoides acrolepis-filifer complex
3e34ba95-bbe1-4a7c-b571-8d4dde844ffc,Latrunculia (Latrunculia) austini
3e34ba95-bbe1-4a7c-b571-8d4dde844ffc,Octocorallia
3e34ba95-bbe1-4a7c-b571-8d4dde844ffc,Pandalus amplus
3e34ba95-bbe1-4a7c-b571-8d4dde844ffc,Porifera
92c64994-5fef-40db-a3bd-6757bf7fc2d3,Actinostoloidea
92c64994-5fef-40db-a3bd-6757bf7fc2d3,Mysida
92c64994-5fef-40db-a3bd-6757bf7fc2d3,Solaster
3e4bfedc-6199-44f4-8dbf-67015c7dcd15,Mysida
3e4bfedc-6199-44f4-8dbf-67015c7dcd15,Umbellula sp. 2
8b42874a-ee67-4506-8942-a0ed465cc872,Liponema
59293a89-0927-4e7b-aca4-284d3ec9ba4a,Bathyraja trachura
f39da9a7-4710-4789-982b-3016720ca8ac,Actiniidae sp. 1
83f11166-1940-4da0-b202-ad4028e69416,Umbellula sp. 2
5eb2c888-7cd9-45c2-8201-283312fa53dd,Ceriantharia sp. 2
5eb2c888-7cd9-45c2-8201-283312fa53dd,Pagurus tanneri
cd6a20d3-68b6-43d8-8ed5-b265a9eecef9,Umbellula sp. 2
1e17bb35-ffd6-45f9-9f24-a7e0f62a2fec,Microstomus pacificus
1e17bb35-ffd6-45f9-9f24-a7e0f62a2fec,Umbellula sp. 2
13db32f2-6a06-43ec-b05c-f9dcb8f5afdf,Actinostoloidea
13db32f2-6a06-43ec-b05c-f9dcb8f5afdf,Umbellula sp. 2
1db08a93-1d27-4aee-ae20-7ec4cf0cbcdc,Microstomus pacificus
1db08a93-1d27-4aee-ae20-7ec4cf0cbcdc,Umbellula sp. 2
9d2e5eb9-e996-4a59-a8da-36fea57a48f8,Microstomus pacificus
38dea43f-0491-4b39-9770-1cbdaf66fa55,Microstomus pacificus
f1e74d8b-8160-4a66-b28a-1e8ef85e3cb5,Asbestopluma
f1e74d8b-8160-4a66-b28a-1e8ef85e3cb5,manipulator
947c6bd0-7bec-4f20-8061-266eb0e6d991,Actiniidae sp. 1
cab934e2-839e-40df-a872-ea2e51563db7,Embassichthys bathybius
95ce8c00-4304-4d2e-bf48-d52d2c5a2c10,Asteronyx loveni
95ce8c00-4304-4d2e-bf48-d52d2c5a2c10,Hormathiidae sp. 1
7e2bd399-c34d-4f68-8073-ff3d1f1ea6bf,Suction Sampler
030214ac-5590-40e7-ba2f-f6f18c7c105c,Brisingida
115a1dbd-c71f-4c98-a556-6fb909380268,Embassichthys bathybius
01d5b123-2f3e-4c97-b50e-28c7842e6662,Actiniidae sp. 1
b524f325-4f97-4992-a269-ce20cda723ee,Microstomus pacificus
b524f325-4f97-4992-a269-ce20cda723ee,Paguroidea
d685b017-86e3-441b-b501-90d90f457886,Asbestopluma
c7db7667-01e3-4717-83ea-b7cc7c6c8a1d,Actiniidae sp. 1
c7db7667-01e3-4717-83ea-b7cc7c6c8a1d,Corallimorphus
459b21f3-3ba3-4ac9-8fef-5c1c196d6964,Microstomus pacificus
aa4c4511-c3ec-48cb-b588-f34d2eb89f34,Sebastolobus altivelis
ffc6a11d-ef05-4adb-8a9c-4b520e0618b9,Actinostolidae
ffc6a11d-ef05-4adb-8a9c-4b520e0618b9,Bathyraja abyssicola
ffc6a11d-ef05-4adb-8a9c-4b520e0618b9,Porifera
ffc6a11d-ef05-4adb-8a9c-4b520e0618b9,Suction Sampler
24b19904-af08-405f-a657-5afe35f6b164,Sebastolobus altivelis
030970a4-668e-4654-9a7f-976ae363e650,Sebastolobus altivelis
78f36907-11ae-48ef-aa22-599cba99f7c3,Asbestopluma monticola
44dc00f8-7c31-4ab0-a20e-1bb1d4951042,Actiniidae sp. 1
44dc00f8-7c31-4ab0-a20e-1bb1d4951042,Octocorallia
4886b7f9-0e0d-4c0d-803c-247ed5fb43d4,Bathyraja trachura
4886b7f9-0e0d-4c0d-803c-247ed5fb43d4,Pandalopsis ampla
286e74bf-b29c-40ec-8008-ecc551b21587,Embassichthys bathybius
ccccddfb-0bf6-4272-8c23-e6a4ba7427d9,Chorilia
ccccddfb-0bf6-4272-8c23-e6a4ba7427d9,Paragorgia
0aa05f66-9a9d-461b-aeb2-86c37402a5d4,Asbestopluma monticola
0aa05f66-9a9d-461b-aeb2-86c37402a5d4,Mycale sp. 1
0aa05f66-9a9d-461b-aeb2-86c37402a5d4,Porifera
0bfe239b-ba4a-4b4b-aca3-6749531c7528,Bathyraja trachura
0bfe239b-ba4a-4b4b-aca3-6749531c7528,Porifera
37f6e3d4-f5d8-480f-bb8b-af060e1a1b45,Bathyraja trachura
37f6e3d4-f5d8-480f-bb8b-af060e1a1b45,Porifera
53ed8303-869c-42f4-a3b4-43ee98cd2d8f,Bathyraja trachura
53ed8303-869c-42f4-a3b4-43ee98cd2d8f,Porifera
1521989a-b942-4f31-b97a-711ccf9d19f7,Pandalopsis ampla
1521989a-b942-4f31-b97a-711ccf9d19f7,Porifera
1521989a-b942-4f31-b97a-711ccf9d19f7,eggcase
759d0d8b-c473-49a4-9ae4-b4f0c18e19ef,Embassichthys bathybius
759d0d8b-c473-49a4-9ae4-b4f0c18e19ef,Porifera
306d6b1f-df94-41d6-8f2a-90f6bb29ef21,Bathyraja trachura
306d6b1f-df94-41d6-8f2a-90f6bb29ef21,Porifera
9cd034a3-c6dc-4f3f-a88e-88074f68112d,Asbestopluma
9cd034a3-c6dc-4f3f-a88e-88074f68112d,Paragorgia
9cd034a3-c6dc-4f3f-a88e-88074f68112d,Porifera
9cd034a3-c6dc-4f3f-a88e-88074f68112d,Sibogagorgia
c6762278-42de-4ee2-b251-5f7de5f7be71,Hexactinellida sp. 6
c6762278-42de-4ee2-b251-5f7de5f7be71,Microstomus pacificus
c6762278-42de-4ee2-b251-5f7de5f7be71,Mycale sp. 1
c6762278-42de-4ee2-b251-5f7de5f7be71,Porifera
d1a78521-2868-4cee-8355-0dfef16342a6,Ascidiacea
d1a78521-2868-4cee-8355-0dfef16342a6,Bathyraja trachura
d1a78521-2868-4cee-8355-0dfef16342a6,Galatheidae
d1a78521-2868-4cee-8355-0dfef16342a6,Pandalopsis ampla
d1a78521-2868-4cee-8355-0dfef16342a6,Pannychia moseleyi
d1a78521-2868-4cee-8355-0dfef16342a6,Porifera
d7a3de1c-081b-4b15-89cf-37f137d49181,Bathyraja trachura
d7a3de1c-081b-4b15-89cf-37f137d49181,Pannychia moseleyi
d7a3de1c-081b-4b15-89cf-37f137d49181,Porifera
09c80fc6-6257-4223-a946-a60dc822d281,Galatheidae
09c80fc6-6257-4223-a946-a60dc822d281,Pannychia moseleyi
49679766-eb31-4691-884c-a5cdcef00e6c,Coryphaenoides acrolepis
49679766-eb31-4691-884c-a5cdcef00e6c,Porifera
8e941c21-2d63-4726-954a-9e813f24366d,Actiniidae sp. 1
8e941c21-2d63-4726-954a-9e813f24366d,Asbestopluma
ec4d13d2-da20-46ab-b3f9-285541481c19,Ceriantharia
de48f996-bf16-472f-a12d-26f0c663c1b8,Corallimorphidae
899417d4-22c3-4140-a419-0ffba87d8d7e,Actinostolidae
899417d4-22c3-4140-a419-0ffba87d8d7e,Umbellula sp. 2
cc372426-0cc0-476f-989b-2d3681350f94,Ceriantharia
3c5f0d74-aca8-4eff-a40a-79dec1831420,Asthenactis fisheri
3c5f0d74-aca8-4eff-a40a-79dec1831420,Cnemidocarpa
3c5f0d74-aca8-4eff-a40a-79dec1831420,Hippasteria lepidonotus
2635001a-6840-490b-bc31-363e4ed24e8c,Asthenactis fisheri
2635001a-6840-490b-bc31-363e4ed24e8c,Dipsacaster
2635001a-6840-490b-bc31-363e4ed24e8c,Suction Sampler
9a346fc5-5a4a-47e3-891c-fe41ccea96a1,Asthenactis fisheri
9a346fc5-5a4a-47e3-891c-fe41ccea96a1,Suction Sampler
93334d46-2653-4c6e-8515-68acdaefdaab,Coryphaenoides acrolepis
bc03f5db-49a1-479c-ad9a-4e5d4a2931d7,Actinostolidae
bc03f5db-49a1-479c-ad9a-4e5d4a2931d7,Cnemidocarpa
bc03f5db-49a1-479c-ad9a-4e5d4a2931d7,Coryphaenoides acrolepis-filifer complex
bc03f5db-49a1-479c-ad9a-4e5d4a2931d7,Hippasteria californica
bc03f5db-49a1-479c-ad9a-4e5d4a2931d7,Lycodapus fierasfer
bc03f5db-49a1-479c-ad9a-4e5d4a2931d7,Porifera
bc03f5db-49a1-479c-ad9a-4e5d4a2931d7,Suction Sampler
bc03f5db-49a1-479c-ad9a-4e5d4a2931d7,coral skeleton
bc03f5db-49a1-479c-ad9a-4e5d4a2931d7,marine organism
0f2bf031-6327-4747-a7b9-89de190ebb73,Asthenactis fisheri
0f2bf031-6327-4747-a7b9-89de190ebb73,Suction Sampler
0f2bf031-6327-4747-a7b9-89de190ebb73,manipulator
3ed50b03-1a2f-42aa-a8b9-aa407927b5f3,Bathyraja trachura
3ed50b03-1a2f-42aa-a8b9-aa407927b5f3,Porifera
621c5d47-d94b-4d68-9818-4aa8665de0b9,Chorilia
621c5d47-d94b-4d68-9818-4aa8665de0b9,Mysida
e30b4bbd-cd51-4ccb-92f3-69bf937bcc35,Sebastolobus altivelis
e30b4bbd-cd51-4ccb-92f3-69bf937bcc35,Umbellula sp. 2
3a83d117-049e-4e56-acf2-d08612172352,Umbellula sp. 2
dc509155-5190-41ab-9b30-e3a403e7abd3,Umbellula sp. 2
75aeb66a-8fa2-4b5c-a6f3-f9081c218923,Bathyraja trachura
64e92f14-c548-4a44-a056-d7be8eee94f7,Bathyraja trachura
64e92f14-c548-4a44-a056-d7be8eee94f7,Florometra serratissima
64e92f14-c548-4a44-a056-d7be8eee94f7,Pleuronectiformes
64e92f14-c548-4a44-a056-d7be8eee94f7,Porifera
55258058-64f0-484a-b2d5-2d266a3473fe,Embassichthys bathybius
55258058-64f0-484a-b2d5-2d266a3473fe,Thenea muricata
5db5050c-1ca7-482e-891e-84678278bb43,Pandalopsis ampla
5db5050c-1ca7-482e-891e-84678278bb43,Porifera
